Player;Club;Age;Position;Nation;Value;League;MP;Min;Gls;Ast;Yellow Cards;Red Cards;Total Shots;Total Shots on Target;Goal Creating Actions;Touches;Total Successful Dribbles;Total Tackles Won
Vladimir Darida;Hertha BSC;31;midfield;Czech Republic;3150000;Bundesliga;27;1903;1;6;5;1;27;6;9;1233;19;24
Conor Hourihane;Sheffield United;30;midfield;Ireland;3150000;Premier League;4;225;1;1;0;0;5;2;1;170;0;0
Karim Onisiwo;1.FSV Mainz 05;29;attack;Austria;3150000;Bundesliga;31;1843;4;0;2;0;52;20;4;763;35;20
Jorge Mere;1. FC Köln;24;Defender;Spain;3150000;Bundesliga;16;1300;0;0;2;0;2;0;0;825;1;14
Lucas Leiva;SS Lazio;34;midfield;Brazil;3150000;Serie A;32;2131;0;0;10;0;12;3;1;1710;6;45
Mitchell Dijks;Bologna FC 1909;28;Defender;Netherlands;3150000;Serie A;20;1481;0;0;7;1;2;0;0;995;29;17
Nicola Murru;UC Sampdoria;26;Defender;Italy;3150000;Serie A;14;569;0;0;0;0;5;1;1;436;3;11
Fabio Depaoli;UC Sampdoria;24;Defender;Italy;3150000;Serie A;20;1311;0;0;2;0;7;1;1;675;5;16
Kevin Malcuit;SSC Napoli;30;Defender;France;3150000;Serie A;5;207;0;0;0;0;2;0;0;124;5;2
Luigi Sepe;Parma Calcio 1913;30;Goalkeeper;Italy;3150000;Serie A;36;3240;0;0;0;0;0;0;0;1507;2;0
Vlad Chiriches;US Sassuolo;31;Defender;Romania;3150000;Serie A;24;1837;2;1;6;0;11;3;2;1805;12;20
Lucas Boye;Elche CF;25;attack;Argentina;3150000;La Liga;34;2694;7;2;9;1;57;22;4;1187;65;28
Jean-Daniel Akpa-Akpro;SS Lazio;28;midfield;Cote d'Ivoire;3150000;Serie A;32;1056;0;1;9;0;12;1;1;518;19;28
Valerio Verre;UC Sampdoria;27;midfield;Italy;3150000;Serie A;27;998;3;3;3;0;24;10;8;696;17;9
Gaston Pereiro;Cagliari;26;midfield;Uruguay;3150000;Serie A;15;272;2;2;0;0;14;5;2;181;4;3
Arturo Vidal;Inter Milan;34;midfield;Chile;3150000;Serie A;23;1138;1;1;3;0;21;3;5;878;5;23
Junior Messias;AC Milan;30;midfield;Brazil;3150000;Serie A;36;3215;9;4;6;0;98;32;14;1808;93;42
Paolo Ghiglione;Genoa CFC;24;midfield;Italy;3060000;Serie A;23;1358;0;4;4;0;10;2;6;750;6;15
Maya Yoshida;UC Sampdoria;33;Defender;Japan;2880000;Serie A;32;2274;1;2;5;0;12;2;2;1460;3;15
Enock Kwateng;FC Girondins Bordeaux;24;Defender;France;2880000;Ligue 1;18;1038;1;0;4;0;4;2;1;793;12;14
Pedro Chirivella;FC Nantes;24;midfield;Spain;2880000;Ligue 1;32;2280;0;2;4;0;9;2;3;1415;6;19
Gonzalo Escalante;SS Lazio;28;midfield;Argentina;2880000;Serie A;24;733;0;1;5;0;7;3;3;569;8;19
Sebastian Rudy;TSG 1899 Hoffenheim;31;midfield;Germany;2700000;Bundesliga;27;1858;1;3;4;0;16;8;5;1318;10;31
Martin Erlic;Spezia Calcio;23;Defender;Croatia;2700000;Serie A;27;1798;3;1;6;0;9;3;1;1245;4;18
Roberto Piccoli;Atalanta BC;20;attack;Italy;2700000;Serie A;20;703;5;0;0;0;15;10;1;259;2;6
Jaime Seoane;SD Huesca;24;midfield;Spain;2700000;La Liga;29;2064;1;1;5;0;24;9;1;1108;19;38
Domingos Quina;Fulham FC;21;midfield;Portugal;2700000;Premier League;8;341;2;0;1;0;8;3;0;150;7;6
Islam Slimani;Olympique Lyon;33;attack;Algeria;2700000;Ligue 1;18;579;3;1;0;1;19;7;1;316;3;5
Salif Sane;FC Schalke 04;31;Defender;Senegal;2700000;Bundesliga;14;1071;0;0;5;0;7;1;0;847;7;7
Robin Hack;Arminia Bielefeld;23;attack;Germany;2700000;Bundesliga;;;;;;;;;;;;
Andriy Lunin;Real Madrid;22;Goalkeeper;Ukraine;2700000;La Liga;;;;;;;;;;;;
Jean-Victor Makengo;Udinese Calcio;23;midfield;France;2700000;Serie A;17;522;0;0;1;0;4;0;1;270;6;7
Karim Rekik;Sevilla FC;26;Defender;Netherlands;2700000;La Liga;11;653;0;0;2;0;3;0;1;559;5;8
Jarrad Branthwaite;Everton FC;19;Defender;England;2700000;Premier League;;;;;;;;;;;;
Lazar Samardzic;Udinese Calcio;19;midfield;Germany;2700000;Serie A;7;200;0;1;0;0;1;0;1;96;6;6
Lucas Perez;Elche CF;32;attack;Spain;2700000;La Liga;28;1759;4;4;1;0;28;10;10;847;27;10
Carlos Clerc;Levante UD;29;Defender;Spain;2700000;La Liga;35;2781;0;3;5;0;6;4;5;2005;37;47
Paulo Gazzaniga;Fulham FC;29;Goalkeeper;Argentina;2700000;Premier League;8;720;0;0;3;0;0;0;0;253;0;0
Kevin Gameiro;RC Strasbourg Alsace;34;attack;France;2700000;Ligue 1;27;1077;4;1;0;0;15;7;2;374;4;6
