Player;Club;Age;Position;Nation;Value;League;MP;Min;Gls;Ast;Yellow Cards;Red Cards;Total Shots;Total Shots on Target;Goal Creating Actions;Touches;Total Successful Dribbles;Total Tackles Won
Joelinton;Newcastle;25;attack;Brazil;15300000;Premier League;31;1983;4;2;3;0;45;19;8;935;39;26
Harry Wilson;Fulham FC;24;attack;Wales;15300000;Premier League;;;;;;;;;;;;
Maxence Caqueret;Olympique Lyon;21;midfield;France;15300000;Ligue 1;29;1761;0;1;4;1;9;0;3;1331;35;59
Pierluigi Gollini;Tottenham Hotspur;26;Goalkeeper;Italy;15300000;Premier League;25;2156;0;0;0;1;0;0;1;714;1;0
Matt Targett;Aston Villa;25;Defender;England;15300000;Premier League;38;3404;0;2;7;0;6;2;7;2522;16;57
Leandro Trossard;"Brighton &amp; Hove Albion";26;attack;Belgium;15300000;Premier League;35;2607;5;5;2;0;58;23;11;1421;42;20
Robin Koch;Leeds United;25;Defender;Germany;15300000;Premier League;17;1132;0;0;1;0;9;2;2;883;2;18
Alphonse Areola;West Ham United;28;Goalkeeper;France;15300000;Premier League;36;3240;0;0;2;0;0;0;0;1110;0;1
Elif Elmas;SSC Napoli;21;midfield;North Macedonia;15300000;Serie A;33;740;2;1;3;0;13;6;5;449;11;9
Bartlomiej Dragowski;ACF Fiorentina;24;Goalkeeper;Poland;14400000;Serie A;36;3148;0;1;0;1;0;0;1;1149;0;0
Willi Orban;RB Leipzig;28;Defender;Hungary;14400000;Bundesliga;29;2363;4;1;4;0;23;7;3;2353;9;26
Jerry St. Juste;1.FSV Mainz 05;24;Defender;Netherlands;14400000;Bundesliga;32;2880;0;1;4;0;22;4;4;1724;26;45
Youssouf Fofana;AS Monaco;22;midfield;France;14400000;Ligue 1;35;2873;0;3;10;1;38;5;9;2043;35;80
Borna Sosa;VfB Stuttgart;23;Defender;Croatia;14400000;Bundesliga;26;2042;0;9;2;0;14;3;10;1523;32;13
Jonas Hofmann;Borussia Mönchengladbach;29;attack;Germany;14400000;Bundesliga;24;1817;6;11;1;0;23;8;12;1225;13;20
Ben Davies;Tottenham Hotspur;28;Defender;Wales;14400000;Premier League;20;1346;0;1;1;0;3;0;4;938;5;13
Ben Davies;Tottenham Hotspur;28;Defender;Wales;14400000;Premier League;20;1346;0;1;1;0;3;0;4;938;5;13
Ben Davies;Sheffield United;26;Defender;England;2700000;Premier League;20;1346;0;1;1;0;3;0;4;938;5;13
Ben Davies;Sheffield United;26;Defender;England;2700000;Premier League;20;1346;0;1;1;0;3;0;4;938;5;13
Aleksandar Mitrovic;Fulham FC;26;attack;Serbia;14400000;Premier League;27;1402;3;3;3;0;56;17;5;602;14;9
Andy Delort;OGC Nice;29;attack;Algeria;14400000;Ligue 1;30;2482;15;9;4;0;91;34;15;1232;38;15
Diego Demme;SSC Napoli;29;midfield;Germany;14400000;Serie A;24;1590;2;3;6;0;14;5;3;1418;4;37
Morgan Sanson;Aston Villa;27;midfield;France;14400000;Premier League;21;1120;2;3;5;0;13;3;4;656;12;24
Sofiane Diop;AS Monaco;21;midfield;France;14400000;Ligue 1;32;2023;7;1;4;0;43;17;6;1295;38;41
Matt Doherty;Tottenham Hotspur;29;Defender;Ireland;14400000;Premier League;17;1240;0;2;4;1;3;1;2;1004;7;8
Leo Dubois;Olympique Lyon;26;Defender;France;14400000;Ligue 1;37;2903;2;4;3;0;20;3;10;2606;35;34
Breel Embolo;Borussia Mönchengladbach;24;attack;Switzerland;14400000;Bundesliga;31;1440;5;2;4;0;41;19;10;733;41;14
Roland Sallai;SC Freiburg;24;attack;Hungary;14400000;Bundesliga;28;1661;8;3;5;0;46;20;9;743;16;13
Ainsley Maitland-Niles;Arsenal FC;24;midfield;England;14400000;Premier League;26;1720;0;0;2;0;12;4;3;930;24;25
Juan Bernat;Paris Saint-Germain;28;Defender;Spain;14400000;Ligue 1;3;194;0;0;2;0;0;0;0;157;3;2
Alexander Sorloth;Real Sociedad;25;attack;Norway;14400000;La Liga;29;1443;5;3;2;0;48;17;4;686;20;7
Eddie Nketiah;Arsenal FC;22;attack;England;14400000;Premier League;17;423;2;1;0;0;12;5;1;152;10;3
Joe Willock;Newcastle;22;midfield;England;14400000;Premier League;21;1216;8;0;1;0;21;12;3;553;25;29
Ohis Felix Uduokhai;FC Augsburg;23;Defender;Germany;14400000;Bundesliga;29;2610;1;0;5;0;13;3;1;1850;16;24
Lucas Tousart;Hertha BSC;24;midfield;France;14400000;Bundesliga;26;2090;1;0;7;0;30;6;6;1144;12;36
Mahmoud Dahoud;Borussia Dortmund;25;midfield;Germany;14400000;Bundesliga;21;1258;1;1;2;0;16;5;5;1054;25;24
Erik Lamela;Sevilla FC;29;attack;Argentina;14400000;La Liga;23;717;1;0;6;1;22;9;5;474;17;11
Ihlas Bebou;TSG 1899 Hoffenheim;27;attack;Togo;14400000;Bundesliga;32;2200;9;7;3;0;46;19;14;1014;51;20
Reinier;Borussia Dortmund;19;midfield;Brazil;14400000;Bundesliga;14;257;1;1;0;0;3;1;1;148;3;8
Juan Cuadrado;Juventus FC;33;Defender;Colombia;14400000;Serie A;30;2175;2;10;9;1;18;6;17;2048;56;21
Ander Barrenetxea;Real Sociedad;19;attack;Spain;13500000;La Liga;31;1307;3;0;7;0;23;7;4;648;39;20
Jose Campana;Levante UD;28;midfield;Spain;13500000;La Liga;9;748;1;2;0;0;12;4;2;618;24;8
Yunus Musah;Valencia CF;18;attack;United States;13500000;La Liga;32;1530;1;0;2;0;6;2;1;661;27;11
Carles Alena;Getafe CF;23;midfield;Spain;13500000;La Liga;22;1366;2;2;1;0;30;8;2;735;18;9
Luis Suarez;Atlético de Madrid;34;attack;Uruguay;13500000;La Liga;32;2508;21;3;6;0;98;41;10;904;11;5
Luis Suarez;Atlético de Madrid;34;attack;Uruguay;13500000;La Liga;32;2508;21;3;6;0;98;41;10;904;11;5
Luis Suarez;Granada CF;23;attack;Colombia;9000000;La Liga;32;2508;21;3;6;0;98;41;10;904;11;5
Luis Suarez;Granada CF;23;attack;Colombia;9000000;La Liga;32;2508;21;3;6;0;98;41;10;904;11;5
Yeremi Pino;Villarreal CF;18;attack;Spain;13500000;La Liga;24;797;3;1;4;0;14;5;2;454;21;13
Krzysztof Piatek;Hertha BSC;26;attack;Poland;13500000;Bundesliga;32;1630;7;1;4;0;39;18;3;606;7;5
Rafinha;Paris Saint-Germain;28;midfield;Brazil;13500000;Ligue 1;23;1361;0;4;2;0;24;8;7;1396;30;38
Enis Bardhi;Levante UD;26;midfield;North Macedonia;13500000;La Liga;26;1682;1;2;4;0;36;13;6;1143;39;22
Gabriel Paulista;Valencia CF;30;Defender;Brazil;13500000;La Liga;31;2716;4;1;6;0;14;6;3;1795;4;11
Alex Berenguer;Athletic Bilbao;26;attack;Spain;13500000;La Liga;35;2278;8;4;4;0;48;15;13;1292;45;31
Lucas Vazquez;Real Madrid;30;attack;Spain;13500000;La Liga;24;1848;2;5;3;0;22;8;10;1681;29;43
Moussa Niakhate;1.FSV Mainz 05;25;Defender;France;13500000;Bundesliga;32;2866;3;1;10;1;9;5;2;1833;14;35
William Carvalho;Real Betis Balompié;29;midfield;Portugal;13500000;La Liga;27;1223;2;0;6;1;15;6;2;1080;16;19
Santi Mina;Celta de Vigo;25;attack;Spain;13500000;La Liga;34;2412;12;3;4;0;45;22;9;891;9;19
Jorge de Frutos;Levante UD;24;attack;Spain;13500000;La Liga;37;2186;4;9;3;0;27;10;16;1040;48;31
Marcos Acuna;Sevilla FC;29;Defender;Argentina;13500000;La Liga;30;2330;1;2;5;0;18;3;4;2027;41;47
Nemanja Maksimovic;Getafe CF;26;midfield;Serbia;13500000;La Liga;35;2728;1;0;5;0;16;4;1;1043;13;35
Djibril Sow;Eintracht Frankfurt;24;midfield;Switzerland;13500000;Bundesliga;28;2175;0;2;6;0;11;3;5;1504;18;45
Jonny Castro;Wolverhampton Wanderers;27;Defender;Spain;13500000;Premier League;7;495;0;0;0;0;1;0;0;298;4;6
Thomas Delaney;Sevilla FC;29;midfield;Denmark;13500000;La Liga;20;1286;1;1;6;0;8;3;0;1002;4;37
Pervis Estupinan;Villarreal CF;23;Defender;Ecuador;13500000;La Liga;25;1168;0;0;1;0;11;5;3;845;14;24
Aritz Elustondo;Real Sociedad;27;Defender;Spain;13500000;La Liga;23;1884;1;0;5;0;5;1;2;1405;6;17
Geoffrey Kondogbia;Atlético de Madrid;28;midfield;Central African Republic;13500000;La Liga;30;1051;0;0;5;0;9;4;2;700;13;30
Idrissa Gana Gueye;Paris Saint-Germain;31;midfield;Senegal;13500000;Ligue 1;28;1581;2;1;3;0;19;7;4;1893;24;45
Luca Waldschmidt;VfL Wolfsburg;25;attack;Germany;13500000;Bundesliga;;;;;;;;;;;;
Eric Bailly;Manchester United;27;Defender;Cote d'Ivoire;13500000;Premier League;12;916;0;0;3;0;2;0;1;653;5;6
Henrikh Mkhitaryan;AS Roma;32;midfield;Armenia;13500000;Serie A;34;2745;13;10;2;0;81;33;15;1587;46;38
Gonzalo Villar;AS Roma;23;midfield;Spain;13500000;Serie A;33;1859;0;1;7;0;10;1;4;1471;33;32
Andrea Petagna;SSC Napoli;26;attack;Italy;13500000;Serie A;26;964;4;3;0;0;26;11;5;343;7;2
Riccardo Orsolini;Bologna FC 1909;24;attack;Italy;13500000;Serie A;34;1755;7;3;0;0;53;18;9;994;39;10
Gaetan Laborde;Stade Rennais FC;27;attack;France;13500000;Ligue 1;38;3256;16;8;3;0;101;42;17;1367;34;33
Sean Longstaff;Newcastle;23;midfield;England;13500000;Premier League;22;1412;0;1;2;0;15;5;2;720;4;21
Federico Bernardeschi;Juventus FC;27;attack;Italy;13500000;Serie A;27;972;0;2;3;0;13;6;5;714;20;5
Ibrahima Diallo;Southampton FC;22;midfield;France;13500000;Premier League;27;1460;0;0;4;0;9;2;1;1030;18;33
Roberto Gagliardini;Inter Milan;27;midfield;Italy;13500000;Serie A;28;1232;3;2;2;0;17;5;6;743;7;17
Harvey Elliot;Liverpool FC;18;attack;England;13500000;Premier League;;;;;;;;;;;;
Brahim Diaz;AC Milan;22;midfield;Spain;13500000;Serie A;27;1228;4;3;2;0;26;9;11;664;33;20
Benjamin Bourigeaud;Stade Rennais FC;27;midfield;France;13500000;Ligue 1;37;2552;6;5;8;0;64;24;11;2145;14;26
Nick Pope;Burnley FC;29;Goalkeeper;England;13500000;Premier League;32;2880;0;0;1;0;0;0;0;1084;0;0
Baptiste Santamaria;Stade Rennais FC;26;midfield;France;13500000;Ligue 1;33;2479;1;2;6;0;35;11;3;1568;23;48
Jack Harrison;Leeds United;24;attack;England;13500000;Premier League;36;2847;8;8;2;0;47;19;15;1556;46;35
Benjamin Andre;LOSC Lille;31;midfield;France;13500000;Ligue 1;35;2885;0;1;10;0;20;7;4;2442;28;87
Gianluca Scamacca;US Sassuolo;22;attack;Italy;13500000;Serie A;26;1352;8;2;1;0;46;16;4;559;14;11
Giacomo Raspadori;US Sassuolo;21;attack;Italy;13500000;Serie A;27;1232;6;0;1;0;23;12;8;497;15;2
Conor Gallagher;Crystal Palace;21;midfield;England;13500000;Premier League;30;2531;2;2;11;0;29;7;3;1332;38;53
Razvan Marin;Cagliari;25;midfield;Romania;13500000;Serie A;37;2965;3;6;6;0;28;10;7;1981;32;49
Oscar Mingueza;FC Barcelona;22;Defender;Spain;13500000;La Liga;27;1901;2;2;4;0;12;6;5;1867;7;42
Mattia Zaccagni;SS Lazio;26;midfield;Italy;13500000;Serie A;36;2609;5;5;6;0;30;12;15;1384;68;24
Thiago Mendes;Olympique Lyon;29;midfield;Brazil;13500000;Ligue 1;32;2243;0;1;5;1;22;7;5;1731;15;38
Jamal Lewis;Newcastle;23;Defender;Northern Ireland;13500000;Premier League;24;1837;0;1;4;0;3;1;2;1010;14;26
Karl Toko Ekambi;Olympique Lyon;28;attack;Cameroon;13500000;Ligue 1;35;2811;14;6;3;0;92;38;14;1349;63;9
Jean-Philippe Gbamin;Everton FC;25;midfield;Cote d'Ivoire;13500000;Premier League;;;;;;;;;;;;
Rafael Toloi;Atalanta BC;30;Defender;Italy;13500000;Serie A;31;2537;2;0;9;0;27;8;1;1925;12;33
Sofyan Amrabat;ACF Fiorentina;25;midfield;Morocco;13500000;Serie A;31;2441;0;0;7;0;9;3;2;1649;41;42
Aleksei Miranchuk;Atalanta BC;25;midfield;Russia;13500000;Serie A;25;675;4;2;0;0;16;7;6;510;16;10
Justin Kluivert;OGC Nice;22;attack;Netherlands;12600000;Ligue 1;19;813;3;1;2;0;18;7;3;369;23;3
Philipp Lienhart;SC Freiburg;25;Defender;Austria;12600000;Bundesliga;34;2993;4;0;4;0;10;4;0;2197;6;15
Boulaye Dia;Villarreal CF;24;attack;Senegal;12600000;La Liga;36;2930;14;1;2;0;58;22;9;1001;48;17
Brais Mendez;Celta de Vigo;24;midfield;Spain;12600000;La Liga;34;2671;9;0;8;0;49;21;15;1595;17;45
Willy Boly;Wolverhampton Wanderers;30;Defender;Cote d'Ivoire;12600000;Premier League;21;1879;1;1;2;0;14;3;1;1219;5;26
Amir Rrahmani;SSC Napoli;27;Defender;Kosovo;12600000;Serie A;16;1094;1;0;2;0;5;2;2;678;3;10
Valentin Rongier;Olympique Marseille;26;midfield;France;12600000;Ligue 1;26;1887;1;2;8;0;17;6;6;1643;23;73
Borja Mayoral;AS Roma;24;attack;Spain;12600000;Serie A;31;1551;10;3;1;0;41;16;8;525;15;5
Koen Casteels;VfL Wolfsburg;29;Goalkeeper;Belgium;12600000;Bundesliga;32;2880;0;0;0;0;0;0;0;1314;2;0
John Brooks;VfL Wolfsburg;28;Defender;United States;12600000;Bundesliga;32;2774;2;0;5;0;18;4;1;2249;7;37
Marcel Halstenberg;RB Leipzig;29;Defender;Germany;12600000;Bundesliga;24;1651;2;2;2;0;13;4;4;1806;17;24
Anthony Lopes;Olympique Lyon;30;Goalkeeper;Portugal;12600000;Ligue 1;38;3420;0;0;2;0;0;0;0;1265;1;0
Thomas Strakosha;SS Lazio;26;Goalkeeper;Albania;12600000;Serie A;9;810;0;0;1;0;0;0;0;366;0;1
Diadie Samassekou;TSG 1899 Hoffenheim;25;midfield;Mali;12600000;Bundesliga;31;2563;0;2;3;0;15;1;7;1724;28;45
Rolando Mandragora;Torino FC;24;midfield;Italy;12600000;Serie A;27;1923;3;1;5;1;36;12;6;1104;13;22
Antonin Barak;Hellas Verona;26;midfield;Czech Republic;12600000;Serie A;34;2765;7;3;5;1;43;15;7;1602;30;29
Amadou Diawara;AS Roma;24;midfield;Guinea;12600000;Serie A;18;658;1;0;4;1;7;4;1;533;3;12
Aaron Ramsey;Juventus FC;30;midfield;Wales;12600000;Serie A;22;1089;2;4;2;0;23;10;7;862;12;16
Emil Audero;UC Sampdoria;24;Goalkeeper;Italy;12600000;Serie A;37;3330;0;1;0;0;0;0;1;1340;0;0
Elseid Hysaj;SS Lazio;27;Defender;Albania;11700000;Serie A;24;1768;0;2;2;0;8;0;4;1417;17;18
Kepa Arrizabalaga;Chelsea FC;26;Goalkeeper;Spain;11700000;Premier League;7;585;0;0;1;0;0;0;0;256;0;0
Moussa Djenepo;Southampton FC;23;attack;Mali;11700000;Premier League;27;1240;1;0;5;0;14;2;4;644;35;22
Cesar Azpilicueta;Chelsea FC;32;Defender;Spain;11700000;Premier League;26;2188;1;2;5;1;11;4;4;2269;5;31
Alessandro Florenzi;AC Milan;30;Defender;Italy;11700000;Serie A;21;1538;2;1;1;0;21;8;1;1127;6;19
Jean-Philippe Mateta;Crystal Palace;24;attack;France;11700000;Premier League;22;1218;8;1;2;0;31;15;4;475;16;6
Martin Terrier;Stade Rennais FC;24;attack;France;11700000;Ligue 1;34;2436;9;7;2;1;46;17;9;1104;26;24
Ruben Vargas;FC Augsburg;23;attack;Switzerland;11700000;Bundesliga;30;1612;6;3;2;1;38;13;3;839;43;13
Gylfi Sigurdsson;Everton FC;31;midfield;Iceland;11700000;Premier League;36;2253;6;5;2;0;45;12;6;1226;15;21
Oliver Torres;Sevilla FC;26;midfield;Spain;11700000;La Liga;33;1400;0;3;2;0;10;3;6;1175;30;26
Paulinho;Bayer 04 Leverkusen;21;attack;Brazil;11700000;Bundesliga;1;65;0;0;0;0;3;1;0;35;2;0
Anwar El Ghazi;Aston Villa;26;attack;Netherlands;11700000;Premier League;28;1613;10;0;2;0;60;26;1;858;28;10
Romain Faivre;Stade Brestois 29;23;midfield;France;11700000;Ligue 1;36;2891;6;5;0;0;61;22;14;1896;89;47
Peter Gulacsi;RB Leipzig;31;Goalkeeper;Hungary;11700000;Bundesliga;33;2970;0;0;0;0;0;0;0;1214;0;0
Jamaal Lascelles;Newcastle;27;Defender;England;11700000;Premier League;19;1625;2;0;4;0;15;3;0;806;2;12
Marco Reus;Borussia Dortmund;32;midfield;Germany;11700000;Bundesliga;32;2279;8;6;1;0;54;24;12;1427;41;30
Stefan Posch;TSG 1899 Hoffenheim;24;Defender;Austria;11700000;Bundesliga;26;2119;0;0;11;1;10;2;1;1733;8;32
Tino Kadewere;Olympique Lyon;25;attack;Zimbabwe;11700000;Ligue 1;33;2009;10;3;4;0;60;24;12;930;27;25
Gregor Kobel;Borussia Dortmund;23;Goalkeeper;Switzerland;11700000;Bundesliga;33;2970;0;0;0;0;0;0;0;1298;1;0
Jonjo Shelvey;Newcastle;29;midfield;England;11700000;Premier League;30;2617;1;3;7;0;42;9;8;1672;23;25
Dodi Lukebakio;VfL Wolfsburg;23;attack;Belgium;11700000;Bundesliga;29;1855;5;5;4;1;41;18;7;786;40;14
Exequiel Palacios;Bayer 04 Leverkusen;22;midfield;Argentina;11700000;Bundesliga;9;572;0;0;1;0;2;0;1;516;4;17
Ludovic Blas;FC Nantes;23;midfield;France;11700000;Ligue 1;36;2787;10;4;5;0;72;24;10;1451;88;33
Ander Herrera;Paris Saint-Germain;32;midfield;Spain;11700000;Ligue 1;31;1851;1;3;6;0;21;4;7;1971;16;36
Stefano Sensi;Inter Milan;26;midfield;Italy;11700000;Serie A;18;603;0;0;1;1;18;8;4;509;10;10
Stefan Lainer;Borussia Mönchengladbach;29;Defender;Austria;11250000;Bundesliga;33;2768;2;2;2;0;24;7;6;2075;19;39
Sebastiaan Bornauw;VfL Wolfsburg;22;Defender;Belgium;10800000;Bundesliga;24;2083;1;1;3;0;15;4;1;1159;4;20
Takumi Minamino;Liverpool FC;26;attack;Japan;10800000;Premier League;19;1004;3;0;1;0;20;7;2;518;13;5
Denis Suarez;Celta de Vigo;27;midfield;Spain;10800000;La Liga;35;2852;0;9;10;0;16;3;15;2297;40;35
Mats Hummels;Borussia Dortmund;32;Defender;Germany;10800000;Bundesliga;33;2813;5;0;6;0;29;15;2;2959;8;40
Thomas Meunier;Borussia Dortmund;29;Defender;Belgium;10800000;Bundesliga;21;1472;1;1;3;0;12;2;1;1408;20;26
Fran Beltran;Celta de Vigo;22;midfield;Spain;10800000;La Liga;32;1399;3;0;3;0;19;7;1;932;10;21
Rui Silva;Real Betis Balompié;27;Goalkeeper;Portugal;10800000;La Liga;32;2880;0;0;1;0;0;0;0;1144;1;0
Iker Muniain;Athletic Bilbao;28;midfield;Spain;10800000;La Liga;28;1943;5;3;1;0;23;9;12;1272;45;19
Mathias Olivera;Getafe CF;23;Defender;Uruguay;10800000;La Liga;31;2614;0;0;6;0;18;5;0;1478;22;41
Benjamin Henrichs;RB Leipzig;24;Defender;Germany;10800000;Bundesliga;13;540;0;1;3;0;5;2;1;427;2;11
Marcos Alonso;Chelsea FC;30;Defender;Spain;10800000;Premier League;13;960;2;0;2;0;22;9;2;729;7;8
Domingos Duarte;Granada CF;26;Defender;Portugal;10800000;La Liga;29;2363;1;0;5;1;7;2;0;1185;4;19
Ermedin Demirovic;SC Freiburg;23;attack;Bosnia-Herzegovina;10800000;Bundesliga;30;1498;5;6;7;0;40;19;11;506;14;13
Manu Trigueros;Villarreal CF;29;midfield;Spain;10800000;La Liga;35;2527;1;6;6;1;30;8;11;1891;22;35
Seko Fofana;RC Lens;26;midfield;Cote d'Ivoire;10800000;Ligue 1;30;2309;2;3;2;0;40;12;12;1528;40;11
Kevin Mbabu;VfL Wolfsburg;26;Defender;Switzerland;10800000;Bundesliga;22;1642;0;1;7;0;11;5;2;1324;35;31
Gian Marco Ferrari;US Sassuolo;29;Defender;Italy;10800000;Serie A;34;3014;0;4;7;0;24;5;5;3063;5;26
Yuri Berchiche;Athletic Bilbao;31;Defender;Spain;10800000;La Liga;23;1682;1;3;3;0;16;6;6;1298;17;23
Christian Gunter;SC Freiburg;28;Defender;Germany;10800000;Bundesliga;34;3060;3;3;2;0;26;7;8;1931;19;26
Josip Brekalo;Torino FC;23;attack;Croatia;10800000;Serie A;29;1814;7;3;1;0;47;21;11;1091;26;16
Aaron Ramsdale;Arsenal FC;23;Goalkeeper;England;10800000;Premier League;38;3420;0;0;1;0;0;0;0;1271;2;0
Mattias Svanberg;Bologna FC 1909;22;midfield;Sweden;10800000;Serie A;34;1852;5;2;8;1;57;17;6;918;22;18
Chris Smalling;AS Roma;31;Defender;England;10800000;Serie A;16;1111;0;1;3;0;7;1;1;792;4;7
Rick Karsdorp;AS Roma;26;Defender;Netherlands;10800000;Serie A;34;2544;1;6;2;0;13;4;8;1530;15;29
Lukas Nmecha;VfL Wolfsburg;22;attack;Germany;10800000;Bundesliga;;;;;;;;;;;;
Calum Chambers;Arsenal FC;26;Defender;England;10800000;Premier League;10;753;0;2;0;0;8;0;2;678;3;3
Vincenzo Grifo;SC Freiburg;28;attack;Italy;10800000;Bundesliga;31;2313;9;10;2;0;55;24;18;1407;35;12
Divock Origi;Liverpool FC;26;attack;Belgium;10800000;Premier League;9;186;0;0;0;0;7;2;0;94;1;4
Rafa Mir;Sevilla FC;24;attack;Spain;10800000;La Liga;38;2877;13;1;2;0;114;44;2;816;17;9
Ruben Aguilar;AS Monaco;28;Defender;France;10800000;Ligue 1;33;2225;1;3;6;0;8;3;8;1909;22;48
Mohamed Elyounoussi;Southampton FC;27;attack;Norway;10800000;Premier League;;;;;;;;;;;;
Angelo Fulgini;SCO Angers;25;midfield;France;10800000;Ligue 1;33;2725;7;3;4;0;61;26;10;2105;82;14
Adrien Truffert;Stade Rennais FC;19;Defender;France;10800000;Ligue 1;29;1951;1;3;3;0;23;3;4;1538;15;22
Lucas Douath;AS Saint-Étienne;18;midfield;France;10800000;Ligue 1;30;1327;0;0;8;0;5;1;1;775;13;28
Adnan Januzaj;Real Sociedad;26;attack;Belgium;10800000;La Liga;27;1014;4;5;2;0;29;9;10;752;41;6
Keylor Navas;Paris Saint-Germain;34;Goalkeeper;Costa Rica;10800000;Ligue 1;29;2520;0;0;0;0;0;0;0;798;1;0
Colin Dagba;Paris Saint-Germain;22;Defender;France;10800000;Ligue 1;25;1357;1;2;3;0;7;1;3;1083;10;13
Loic Bade;Stade Rennais FC;21;Defender;France;10800000;Ligue 1;31;2610;0;0;11;1;11;3;0;2307;21;38
Ludovic Ajorque;RC Strasbourg Alsace;27;attack;France;10800000;Ligue 1;35;2967;16;4;5;0;67;30;8;1266;14;16
Maxwel Cornet;Burnley FC;24;Defender;Cote d'Ivoire;10800000;Premier League;36;2446;2;5;5;0;22;11;13;2001;20;46
Layvin Kurzawa;Paris Saint-Germain;28;Defender;France;10800000;Ligue 1;19;1278;1;1;4;1;11;2;2;1146;17;16
Alexis Claude-Maurice;OGC Nice;23;midfield;France;10800000;Ligue 1;30;1910;4;5;2;0;33;15;11;1023;43;25
Jean-Clair Todibo;OGC Nice;21;Defender;France;10800000;Ligue 1;15;1330;1;0;5;0;7;1;0;1261;15;26
Vladimir Coufal;West Ham United;29;Defender;Czech Republic;10800000;Premier League;34;3054;0;7;3;0;15;5;7;2065;18;41
Michail Antonio;West Ham United;31;attack;Jamaica;10800000;Premier League;26;1974;10;5;3;0;64;23;11;814;47;8
Timothy Weah;LOSC Lille;21;attack;United States;10800000;Ligue 1;28;878;3;0;1;0;24;9;0;419;4;12
Juan Foyth;Villarreal CF;23;Defender;Argentina;10800000;La Liga;16;1168;0;0;6;0;1;0;1;868;26;26
Felipe;Atlético de Madrid;32;Defender;Brazil;10800000;La Liga;31;2057;0;0;8;0;11;2;0;1303;3;23
Sehrou Guirassy;Stade Rennais FC;25;attack;France;10800000;Ligue 1;27;1764;10;1;3;0;53;24;5;760;27;3
Tosin Adarabioyo;Fulham FC;23;Defender;England;10800000;Premier League;33;2953;0;0;1;0;20;5;1;2221;8;26
Rhian Brewster;Sheffield United;21;attack;England;10800000;Premier League;27;1128;0;0;1;0;25;7;0;352;9;8
Guillermo Maripan;AS Monaco;27;Defender;Chile;10800000;Ligue 1;28;2089;5;1;7;0;14;6;2;1841;1;17
Xherdan Shaqiri;Olympique Lyon;29;attack;Switzerland;10800000;Ligue 1;14;556;0;2;2;0;11;0;3;484;6;4
Caio Henrique Oliveira Silva;AS Monaco;24;Defender;Brazil;10800000;Ligue 1;31;2368;0;4;0;0;5;1;10;1702;17;33
Oscar Rodriguez Arnaiz;Sevilla FC;23;midfield;Spain;10800000;La Liga;20;511;0;0;1;0;10;2;1;416;10;14
Hwang Hee-chan;Wolverhampton Wanderers;25;attack;Korea, South;9900000;Premier League;18;460;0;1;2;0;10;6;3;192;11;5
Nianzou Kouassi;Bayern Munich;19;Defender;France;9900000;Bundesliga;6;118;0;0;1;1;0;0;0;99;1;1
Teji Savanier;Montpellier HSC;29;midfield;France;9900000;Ligue 1;27;2165;5;5;6;1;54;16;11;1584;62;53
Leandro Barreiro Martins;1.FSV Mainz 05;21;midfield;Luxembourg;9900000;Bundesliga;29;2303;2;2;5;0;32;10;2;1052;7;39
Ademola Lookman;Leicester City;23;attack;England;9900000;Premier League;34;2747;4;4;5;0;68;21;11;1593;83;29
Jakub Jankto;Getafe CF;25;midfield;Czech Republic;9900000;La Liga;35;2409;6;3;6;0;40;11;5;1174;11;10
Giovanni Simeone;Hellas Verona;26;attack;Argentina;9900000;Serie A;33;1740;6;2;1;0;43;13;3;572;21;15
Joe Rodon;Tottenham Hotspur;23;Defender;Wales;9000000;Premier League;12;733;0;0;0;0;0;0;0;500;0;9
Jakub Moder;"Brighton &amp; Hove Albion";22;midfield;Poland;9000000;Premier League;12;647;0;0;0;0;13;3;1;369;9;8
Walter Benitez;OGC Nice;28;Goalkeeper;Argentina;9000000;Ligue 1;38;3420;0;0;3;0;0;0;0;1300;0;0
Alban Lafont;FC Nantes;22;Goalkeeper;France;9000000;Ligue 1;38;3420;0;0;2;0;0;0;0;1253;0;0
Niklas Stark;Hertha BSC;26;Defender;Germany;9000000;Bundesliga;33;2793;0;0;2;0;11;3;0;1859;2;36
Habib Diallo;RC Strasbourg Alsace;26;attack;Senegal;9000000;Ligue 1;36;2465;9;3;2;0;55;19;10;922;16;10
Mohammed Salisu;Southampton FC;22;Defender;Ghana;9000000;Premier League;12;844;0;0;1;0;4;1;0;509;9;19
Maxime Lopez;US Sassuolo;23;midfield;France;9000000;Serie A;33;1998;2;0;8;0;11;4;5;1915;18;19
Alexis Mac Allister;"Brighton &amp; Hove Albion";22;midfield;Argentina;9000000;Premier League;21;1115;1;1;1;0;26;3;2;554;15;18
Lucas Martinez Quarta;ACF Fiorentina;25;Defender;Argentina;9000000;Serie A;21;1483;1;0;4;1;13;5;1;1000;13;31
Ludwig Augustinsson;Sevilla FC;27;Defender;Sweden;9000000;La Liga;23;1957;0;4;4;0;17;6;6;1396;7;17
Roger Marti;Levante UD;30;attack;Spain;9000000;La Liga;33;2198;12;4;4;0;43;19;7;731;15;13
Arnaud Kalimuendo;RC Lens;19;attack;France;9000000;Ligue 1;28;1218;7;3;0;0;32;17;11;480;29;5
Ivan Rakitic;Sevilla FC;33;midfield;Croatia;9000000;La Liga;37;2233;4;2;5;0;38;8;3;1958;15;30
